"","min.cti","min.dd5","min.ffp","min.gsp","min.hli","min.pratio","min.rough27","min.srr","mean.cti","mean.dd5","mean.ffp","mean.gsp","mean.hli","mean.pratio","mean.rough27","mean.srr","max.cti","max.dd5","max.ffp","max.gsp","max.hli","max.pratio","max.rough27","max.srr","var.cti","var.dd5","var.ffp","var.gsp","var.hli","var.pratio","var.rough27","var.srr","median.cti","median.dd5","median.ffp","median.gsp","median.hli","median.pratio","median.rough27","median.srr","wet.pct.nlcd"
"min.cti",1,0.5232,0.6064,0.1144,0.233,0.5938,0.1016,0.2543,0.2645,0.1665,0.2068,-0.3558,-0.4231,0.2587,-0.5701,0.0811,-0.255,-0.1962,-0.2149,-0.5771,-0.6082,-0.1471,-0.6718,-0.268,-0.0154,-0.5645,-0.5929,-0.6203,-0.4995,-0.4878,-0.6364,-0.0312,0.2569,0.1357,0.2048,-0.2948,-0.2975,0.2365,-0.474,0.0992,0.174
"min.dd5",0.5232,1,0.915,-0.3012,0.5018,0.8676,0.1765,0.3482,0.1055,0.6633,0.6946,-0.7051,-0.1708,0.7019,-0.5358,0.1287,-0.2749,0.1833,0.1882,-0.76,-0.3908,0.2959,-0.54,-0.2465,0.0337,-0.5269,-0.5645,-0.672,-0.3121,-0.5716,-0.4995,-0.2251,0.015,0.5903,0.641,-0.6584,-0.0195,0.6501,-0.4883,0.1379,0.1589
"min.ffp",0.6064,0.915,1,-0.2883,0.4979,0.9118,0.1796,0.3793,0.1268,0.6704,0.7203,-0.776,-0.1925,0.709,-0.589,0.1517,-0.3058,0.1629,0.1621,-0.8496,-0.4533,0.2645,-0.6163,-0.2633,0.0355,-0.6053,-0.6603,-0.7551,-0.3459,-0.6158,-0.5688,-0.2404,0.0185,0.6094,0.6688,-0.7143,-0.0266,0.6554,-0.5245,0.1603,0.2022
"min.gsp",0.1144,-0.3012,-0.2883,1,-0.0014,-0.2792,0.2651,0.1254,-0.0071,-0.6706,-0.7059,0.6253,-0.0454,-0.6555,0.1282,-0.1594,-0.1483,-0.79,-0.8006,0.2475,-0.1627,-0.8873,-0.0166,-0.1716,-0.0912,-0.3144,-0.327,-0.1742,-0.1294,-0.3082,-0.04,0.028,0.025,-0.622,-0.6594,0.6674,-0.0848,-0.6389,0.1933,-0.1826,0.0207
"min.hli",0.233,0.5018,0.4979,-0.0014,1,0.5203,0.3474,0.3831,-0.0552,0.3625,0.3802,-0.4262,0.1503,0.4485,-0.3032,0.0231,-0.2627,-0.0871,-0.0834,-0.4561,-0.2092,0.005,-0.3064,-0.2082,-0.0253,-0.4857,-0.5143,-0.5387,-0.1762,-0.5519,-0.3048,-0.236,-0.1574,0.3732,0.3876,-0.4046,0.2854,0.4458,-0.2802,-0.0063,0.011
"min.pratio",0.5938,0.8676,0.9118,-0.2792,0.5203,1,0.1912,0.36,0.1168,0.637,0.6837,-0.801,-0.2525,0.806,-0.6857,0.0989,-0.3137,0.1276,0.1213,-0.8988,-0.5073,0.3216,-0.6869,-0.3035,-0.0275,-0.6364,-0.6655,-0.7752,-0.4093,-0.6097,-0.6414,-0.1994,0.0529,0.5738,0.641,-0.7311,-0.1114,0.7543,-0.6004,0.1051,0.1452
"min.rough27",0.1016,0.1765,0.1796,0.2651,0.3474,0.1912,1,0.7501,-0.5445,-0.1352,-0.1296,-0.0206,0.3626,-0.024,0.1407,0.3433,-0.4281,-0.3836,-0.407,-0.1505,-0.0685,-0.3055,-0.0336,-0.0301,-0.5057,-0.3743,-0.4172,-0.3297,0.0132,-0.4132,-0.0811,-0.5595,-0.4936,-0.1137,-0.0956,-0.0114,0.3627,-0.0192,0.2657,0.2326,-0.3951
"min.srr",0.2543,0.3482,0.3793,0.1254,0.3831,0.36,0.7501,1,-0.4329,0.0882,0.1016,-0.2,0.242,0.1289,-0.0604,0.5603,-0.4547,-0.2822,-0.2711,-0.3204,-0.1607,-0.2084,-0.1911,0.014,-0.4315,-0.4691,-0.4731,-0.4522,-0.0578,-0.4496,-0.2004,-0.7181,-0.4128,0.0865,0.1043,-0.1916,0.2602,0.1207,0.0444,0.413,-0.3206
"mean.cti",0.2645,0.1055,0.1268,-0.0071,-0.0552,0.1168,-0.5445,-0.4329,1,0.1411,0.1621,-0.1051,-0.485,0.133,-0.4174,-0.5408,0.4622,0.1633,0.1404,-0.146,-0.1343,0.0936,-0.2701,-0.3115,0.7573,0.0373,-0.0052,-0.0402,-0.1549,0.0107,-0.1494,0.353,0.8683,0.1344,0.1553,-0.0832,-0.4965,0.1265,-0.4894,-0.4547,0.648
"mean.dd5",0.1665,0.6633,0.6704,-0.6706,0.3625,0.637,-0.1352,0.0882,0.1411,1,0.9719,-0.7908,-0.0777,0.8482,-0.4297,0.0727,-0.0456,0.6588,0.6816,-0.5768,-0.1113,0.6832,-0.2899,-0.044,0.1506,-0.1271,-0.1242,-0.2959,-0.1113,-0.1593,-0.2495,-0.1147,0.0311,0.9637,0.9306,-0.8051,0.0665,0.8356,-0.4737,0.0794,0.1269
